Transitoin Probabilities
P(X_t+1)=r | X_t=l) 4.47307210592e-05
P(X_t+1)=u | X_t=l) 0.0193684022186
P(X_t+1)=t | X_t=l) 0.0217838611558
P(X_t+1)=w | X_t=l) 4.47307210592e-05
P(X_t+1)=v | X_t=l) 0.00970656646985
P(X_t+1)=y | X_t=l) 0.096663088209
P(X_t+1)=x | X_t=l) 4.47307210592e-05
P(X_t+1)=z | X_t=l) 4.47307210592e-05
P(X_t+1)=_ | X_t=o) 0.129810230335
P(X_t+1)=a | X_t=o) 0.00377872245839
P(X_t+1)=c | X_t=o) 0.0585424133811
P(X_t+1)=b | X_t=o) 0.0120307854741
P(X_t+1)=e | X_t=o) 0.00527909755217
P(X_t+1)=d | X_t=o) 0.0240337862243
P(X_t+1)=g | X_t=o) 0.0225334111306
P(X_t+1)=f | X_t=o) 0.109555166569
P(X_t+1)=i | X_t=o) 0.00677947264594
P(X_t+1)=h | X_t=o) 2.77847239588e-05
P(X_t+1)=k | X_t=o) 0.000777972270845
P(X_t+1)=j | X_t=o) 2.77847239588e-05
P(X_t+1)=m | X_t=o) 0.0375371620683
P(X_t+1)=l | X_t=o) 0.0465394126309
P(X_t+1)=o | X_t=o) 0.0112805979273
P(X_t+1)=n | X_t=o) 0.162068294851
P(X_t+1)=q | X_t=o) 2.77847239588e-05
P(X_t+1)=p | X_t=o) 0.0255341613181
P(X_t+1)=s | X_t=o) 0.0292850990525
P(X_t+1)=r | X_t=o) 0.14556416882
P(X_t+1)=u | X_t=o) 0.0562918507405
P(X_t+1)=t | X_t=o) 0.0540412880998
P(X_t+1)=w | X_t=o) 0.0277847239588
P(X_t+1)=v | X_t=o) 0.0292850990525
P(X_t+1)=y | X_t=o) 0.000777972270845
P(X_t+1)=x | X_t=o) 0.000777972270845
P(X_t+1)=z | X_t=o) 2.77847239588e-05
P(X_t+1)=_ | X_t=n) 0.254494870457
P(X_t+1)=a | X_t=n) 0.0216310206921
P(X_t+1)=c | X_t=n) 0.0469831333681
P(X_t+1)=b | X_t=n) 3.47765605982e-05
P(X_t+1)=e | X_t=n) 0.064823508955
P(X_t+1)=d | X_t=n) 0.126795339941
P(X_t+1)=g | X_t=n) 0.111771865762
P(X_t+1)=f | X_t=n) 0.0310206920536
P(X_t+1)=i | X_t=n) 0.027264823509
P(X_t+1)=h | X_t=n) 3.47765605982e-05
P(X_t+1)=k | X_t=n) 0.00472961224135
P(X_t+1)=j | X_t=n) 3.47765605982e-05
P(X_t+1)=m | X_t=n) 0.00285167796905
P(X_t+1)=l | X_t=n) 0.0141192836029
P(X_t+1)=o | X_t=n) 0.0760911145888
P(X_t+1)=n | X_t=n) 0.0103634150583
P(X_t+1)=q | X_t=n) 3.47765605982e-05
P(X_t+1)=p | X_t=n) 0.000973743696748
P(X_t+1)=s | X_t=n) 0.0610676404104
P(X_t+1)=r | X_t=n) 3.47765605982e-05
P(X_t+1)=u | X_t=n) 0.0019127108329
P(X_t+1)=t | X_t=n) 0.112710832899
P(X_t+1)=w | X_t=n) 3.47765605982e-05
P(X_t+1)=v | X_t=n) 0.0075465136498
P(X_t+1)=y | X_t=n) 0.0216310206921
P(X_t+1)=x | X_t=n) 0.000973743696748
P(X_t+1)=z | X_t=n) 3.47765605982e-05
P(X_t+1)=_ | X_t=q) 0.0942760942761
P(X_t+1)=a | X_t=q) 0.003367003367
P(X_t+1)=c | X_t=q) 0.003367003367
P(X_t+1)=b | X_t=q) 0.003367003367
P(X_t+1)=e | X_t=q) 0.003367003367
P(X_t+1)=d | X_t=q) 0.003367003367
P(X_t+1)=g | X_t=q) 0.003367003367
P(X_t+1)=f | X_t=q) 0.003367003367
P(X_t+1)=i | X_t=q) 0.003367003367
P(X_t+1)=h | X_t=q) 0.003367003367
P(X_t+1)=k | X_t=q) 0.003367003367
P(X_t+1)=j | X_t=q) 0.003367003367
P(X_t+1)=m | X_t=q) 0.003367003367
P(X_t+1)=l | X_t=q) 0.003367003367
P(X_t+1)=o | X_t=q) 0.003367003367
P(X_t+1)=n | X_t=q) 0.003367003367
P(X_t+1)=q | X_t=q) 0.003367003367
P(X_t+1)=p | X_t=q) 0.003367003367
P(X_t+1)=s | X_t=q) 0.003367003367
P(X_t+1)=r | X_t=q) 0.003367003367
P(X_t+1)=u | X_t=q) 0.821548821549
P(X_t+1)=t | X_t=q) 0.003367003367
P(X_t+1)=w | X_t=q) 0.003367003367
P(X_t+1)=v | X_t=q) 0.003367003367
P(X_t+1)=y | X_t=q) 0.003367003367
P(X_t+1)=x | X_t=q) 0.003367003367
P(X_t+1)=z | X_t=q) 0.003367003367
P(X_t+1)=_ | X_t=p) 0.0209435626102
P(X_t+1)=a | X_t=p) 0.0507054673721
P(X_t+1)=c | X_t=p) 0.000110229276896
P(X_t+1)=b | X_t=p) 0.000110229276896
P(X_t+1)=e | X_t=p) 0.241181657848
P(X_t+1)=d | X_t=p) 0.000110229276896
P(X_t+1)=g | X_t=p) 0.000110229276896
P(X_t+1)=f | X_t=p) 0.000110229276896
P(X_t+1)=i | X_t=p) 0.0120149911817
P(X_t+1)=h | X_t=p) 0.0298721340388
P(X_t+1)=k | X_t=p) 0.000110229276896
P(X_t+1)=j | X_t=p) 0.000110229276896
P(X_t+1)=m | X_t=p) 0.0120149911817
P(X_t+1)=l | X_t=p) 0.14594356261
P(X_t+1)=o | X_t=p) 0.104276895944
P(X_t+1)=n | X_t=p) 0.000110229276896
P(X_t+1)=q | X_t=p) 0.000110229276896
P(X_t+1)=p | X_t=p) 0.0507054673721
P(X_t+1)=s | X_t=p) 0.0596340388007
P(X_t+1)=r | X_t=p) 0.214395943563
P(X_t+1)=u | X_t=p) 0.00606261022928
P(X_t+1)=t | X_t=p) 0.0477292768959
P(X_t+1)=w | X_t=p) 0.000110229276896
P(X_t+1)=v | X_t=p) 0.000110229276896
P(X_t+1)=y | X_t=p) 0.00308641975309
P(X_t+1)=x | X_t=p) 0.000110229276896
P(X_t+1)=z | X_t=p) 0.000110229276896
P(X_t+1)=_ | X_t=s) 0.374525453621
P(X_t+1)=a | X_t=s) 0.0153648402236
P(X_t+1)=c | X_t=s) 0.0153648402236
P(X_t+1)=b | X_t=s) 2.98926852599e-05
P(X_t+1)=e | X_t=s) 0.11786685798
P(X_t+1)=d | X_t=s) 2.98926852599e-05
P(X_t+1)=g | X_t=s) 0.000836995187278
P(X_t+1)=f | X_t=s) 0.0064867127014
P(X_t+1)=i | X_t=s) 0.0428063252922
P(X_t+1)=h | X_t=s) 0.00971512270947
P(X_t+1)=k | X_t=s) 0.000836995187278
P(X_t+1)=j | X_t=s) 2.98926852599e-05
P(X_t+1)=m | X_t=s) 0.0202074552357
P(X_t+1)=l | X_t=s) 0.000836995187278
P(X_t+1)=o | X_t=s) 0.102531910442
P(X_t+1)=n | X_t=s) 0.00325830269333
P(X_t+1)=q | X_t=s) 0.000836995187278
P(X_t+1)=p | X_t=s) 0.0153648402236
P(X_t+1)=s | X_t=s) 0.0484560428063
P(X_t+1)=r | X_t=s) 0.000836995187278
P(X_t+1)=u | X_t=s) 0.03392819777
P(X_t+1)=t | X_t=s) 0.165485905599
P(X_t+1)=w | X_t=s) 2.98926852599e-05
P(X_t+1)=v | X_t=s) 2.98926852599e-05
P(X_t+1)=y | X_t=s) 0.0242429677458
P(X_t+1)=x | X_t=s) 2.98926852599e-05
P(X_t+1)=z | X_t=s) 2.98926852599e-05
P(X_t+1)=_ | X_t=r) 0.219810508183
P(X_t+1)=a | X_t=r) 0.082601205857
